Exp,s,block,cond,mental,physical,temporal,performance,effort,frustration,mean_v.C,mean_v.N,mean_v.Cerr,mean_v.Nerr,mean_v.P,diff.C,diff.N,sum.C,sum.N,sum
E1,25,Control,C,6,1,1,7,5,4,1.7681845,2.1059069,-1.20418645,0.04171077,,2.97237095,2.06419613,0.56399805,2.14761767,2.71161572
E1,25,Control,D,13,3,18,9,10,10,2.9332459,2.4312094,0.002233046,1.3239627,,2.931012854,1.1072467,2.935478946,3.7551721,6.690651046
E1,25,PM,A,14,2,9,11,13,7,1.7538888,2.10345598,-0.309918,0.34189558,3.5380619,2.0638068,1.7615604,1.4439708,2.44535156,7.42738426
E1,25,PM,B,17,4,13,16,13,14,2.0748843,2.8182822,0.678963,0.81727987,4.0098901,1.3959213,2.00100233,2.7538473,3.63556207,10.39929947
E1,25,PM,C,9,3,1,10,12,10,2.3832861,2.122031,0.37088398,0.88663168,3.61489148,2.01240212,1.23539932,2.75417008,3.00866268,9.37772424
E1,25,PM,D,19,8,21,19,15,18,1.9871943,2.1396911,0.8590298,1.3539045,1.49201873,1.1281645,0.7857866,2.8462241,3.4935956,7.83183843
E1,26,Control,A,15.5,14.5,16.5,12.5,11.5,11.5,1.1829555,1.3177006,-0.19880073,1.02610899,,1.38175623,0.29159161,0.98415477,2.34380959,3.32796436
E1,26,Control,B,15.5,15.5,18.5,11.5,10.5,10.5,1.431827,1.8452525,0.51948048,0.74561642,,0.91234652,1.09963608,1.95130748,2.59086892,4.5421764
E1,26,Control,C,12.5,12.5,6.5,6.5,5.5,5.5,0.7881294,1.7103784,0.36122837,-1.59830475,,0.42690103,3.30868315,1.14935777,0.11207365,1.26143142
E1,26,Control,D,17.5,17.5,19.5,13.5,15.5,15.5,1.6562203,2.14324,1.193825498,0.2184003,,0.462394802,1.9248397,2.850045798,2.3616403,5.211686098
E1,26,PM,A,15.5,12.5,19.5,12.5,17.5,18.5,0.637518,1.43785987,0.59097858,-1.19614707,3.1548185,0.04653942,2.63400694,1.22849658,0.2417128,4.62502788
E1,26,PM,B,17.5,17.5,20.5,14.5,18.5,18.5,1.2778666,1.7809315,0.6958768,0.57926616,3.7390034,0.5819898,1.20166534,1.9737434,2.36019766,8.07294446
E1,26,PM,C,14.5,14.5,8.5,6.5,10.5,10.5,1.3004664,1.757007,0.95582843,0.28707266,3.4868849,0.34463797,1.46993434,2.25629483,2.04407966,7.78725939
E1,26,PM,D,20.5,20.5,20.5,17.5,17.5,18.5,1.2697848,2.5188276,1.9576697,0.6500209,3.57521277,-0.6878849,1.8688067,3.2274545,3.1688485,9.97151577
E1,27,Control,A,17.5,1.5,17.5,16.5,17.5,17.5,0.8405011,0.9804247,0.90888434,0.74211853,,-0.06838324,0.23830617,1.74938544,1.72254323,3.47192867
E1,27,Control,B,12.5,1.5,9.5,13.5,16.5,16.5,1.1467393,1.3023634,1.34235793,0.73901123,,-0.19561863,0.56335217,2.48909723,2.04137463,4.53047186
E1,27,Control,C,12.5,1.5,7.5,9.5,11.5,10.5,1.1545319,1.1973598,1.21872439,0.82037611,,-0.06419249,0.37698369,2.37325629,2.01773591,4.3909922
