"","Control","PM"
"CR.Thresh.A.minus.B","5.17 (0)","11.67 (0)"
"CR.Thresh.B.minus.C","1.37 (0.088)","0.26 (0.399)"
"CR.Thresh.C.minus.D","6.84 (0)","18.19 (0)"
"NR.Thresh.A.minus.B","4.84 (0)","8.69 (0)"
"NR.Thresh.B.minus.C","1.83 (0.036)","3.6 (0)"
"NR.Thresh.C.minus.D","4.18 (0)","15.93 (0)"
"PR.Thresh.A.minus.B","-","7.97 (0)"
"PR.Thresh.B.minus.C","-","-1.48 (0.072)"
"PR.Thresh.C.minus.D","-","9.86 (0)"
