"","M","SD"
"sdv.ccC",0.366364027300977,0.00781603166396556
"sdv.nnC",0.550977262214413,0.0144043164149552
"sdv.pcC",0.541854319679112,0.0238865721347474
"sdv.pnC",0.591134491135013,0.030101626742711
"sdv.ccN",0.531853357331778,0.0109859167897549
"sdv.nnN",0.461315073892119,0.0083991280364979
"sdv.pcN",0.540315403839487,0.0301212484356941
"sdv.pnN",0.625393161475411,0.0242955238741995
"sdv.ppP",1.15252243981356,0.0290724574668764
