"","PM_Block","M","SD"
"B.2_Ongoing","Control",1.54520718920754,0.0188521348181482
"B.3_Ongoing","PM",2.52465994239116,0.0240459426018252
"B.2_Conflict","Control",1.59736900762577,0.0244264363046112
"B.3_Conflict","PM",2.51261150655774,0.0314197504317333
"B.2_Nonconflict","Control",1.4930453707893,0.0238040616599059
"B.3_Nonconflict","PM",2.53670837822457,0.030268359497813
"B.3_PM","PM",1.951135340585,0.0345450201014299
