"","Time_Pressure","M","SD"
"B.A_Ongoing","A",2.45999544202637,0.0280374455112983
"B.B_Ongoing","B",2.09596094807604,0.02418332854753
"B.C_Ongoing","C",2.02182189157732,0.0235828327300743
"B.D_Ongoing","D",1.56195598151766,0.0207415705905703
"B.A_PM","A",2.37690686012148,0.0521992179549914
"B.B_PM","B",1.93626028455342,0.0480593750245336
"B.C_PM","C",2.01649628315694,0.0484546280181924
"B.D_PM","D",1.47487793450816,0.0437927154648347
