"","Conflict","Nonconflict"
"A.PM.minus.Control","21.19(0)","26.24(0)"
"B.PM.minus.Control","19.76(0)","26.53(0)"
"C.PM.minus.Control","21.06(0)","26.12(0)"
"D.PM.minus.Control","13.74(0)","17.49(0)"
