"","Conflict","Nonconflict","Conflict (Error)","Nonconflict (Error)"
"A.NonPM.minus.PM","8.57 (0)","8.53 (0)","7.43 (0)","5.43 (0)"
"B.NonPM.minus.PM","8.04 (0)","8.27 (0)","6.93 (0)","8.07 (0)"
"C.NonPM.minus.PM","7.56 (0)","7.49 (0)","6.9 (0)","4.42 (0)"
"D.NonPM.minus.PM","7.34 (0)","7 (0)","6.75 (0)","7.59 (0)"
